food_code,food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,image_url,,,,,,,,,,,,
ASC012,Summer cooler,95.22,22.43,5.43,0.37,0.04,5.21,0.20,0.00,8.13,11.46,7.62,1.57,93.06,0.28,0.01,0.17,0.00,0.16,0.00,0.04,0.00,0.15,0.14,0.00,2.31,0.00,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92,20.92,219.75,tall glass,,,,,,,,,,,,,
ASC014,Hot cocoa,378.24,90.10,9.23,3.36,4.56,9.01,0.00,0.00,113.66,101.41,16.05,24.20,132.15,0.31,0.09,0.90,0.00,0.01,0.00,0.42,0.00,0.22,0.00,0.00,0.02,0.00,7.22,0.03,0.10,0.10,0.32,0.04,1.87,7.22,1.89,189.11,cup,,,,,,,,,,,,,
ASC015,Cold coffee with ice cream,286.61,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03,0.51,0.00,0.02,0.00,0.16,3.62,0.11,0.00,0.00,0.04,0.00,3.15,0.02,0.06,0.29,0.18,0.02,1.54,3.15,0.84,81.39,tall glass,,,,,,,,,,,,,
ASC016,Banana milkshake (Kele milkshake),274.33,65.31,9.15,1.84,2.37,7.96,0.26,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03,0.49,0.00,0.05,0.00,0.19,0.00,0.13,0.02,0.00,0.25,0.00,5.74,0.02,0.06,0.10,0.22,0.08,1.21,5.74,1.98,134.30,tall glass,,,,,,,,,,,,,
ASC017,Mango milkshake (Aam milkshake),239.13,56.90,7.23,1.73,2.35,7.15,0.26,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03,0.75,0.00,0.04,0.00,0.19,0.00,0.15,0.52,0.00,0.67,0.00,15.10,0.02,0.06,0.08,0.19,0.04,1.23,15.10,5.65,301.55,tall glass,,,,,,,,,,,,,
ASC018,Pineapple milkshake (Ananas milkshake),235.06,55.72,7.62,1.66,2.23,7.60,0.00,0.00,59.92,47.88,5.14,14.05,65.68,0.11,0.02,0.47,0.00,0.12,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,4.79,0.02,0.06,0.06,0.18,0.03,0.98,4.79,2.80,100.08,tall glass,,,,,,,,,,,,,
ASC019,Orange milkshake (Narangi milkshake),241.50,57.42,7.11,1.86,2.52,7.08,0.00,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02,0.54,0.00,0.01,0.00,0.19,0.00,0.14,0.00,0.00,0.00,0.00,5.28,0.02,0.06,0.05,0.20,0.02,1.16,5.28,3.39,115.26,tall glass,,,,,,,,,,,,,
ASC020,Egg nog,407.68,97.14,8.15,4.78,5.11,8.06,0.02,60.30,102.13,107.24,8.99,40.65,115.14,0.43,0.04,7.43,0.00,0.02,0.00,0.47,32.62,0.42,0.08,0.14,0.10,2.41,13.81,0.03,0.12,0.08,0.51,0.06,4.57,13.81,1.59,180.53,tall glass,,,,,,,,,,,,,
ASC021,Sweet Lassi (Meethi lassi),151.19,35.66,6.51,1.29,0.68,6.51,0.00,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01,0.45,0.00,0.00,0.00,0.16,6.33,0.01,0.00,0.00,0.00,0.00,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07,0.23,4.75,tall glass,,,,,,,,,,,,,
ASC022,Lassi (salted),79.43,18.84,1.86,1.35,0.72,1.84,0.02,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00,0.47,0.00,0.00,0.00,0.17,6.62,0.01,0.01,0.00,0.09,0.00,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29,tall glass,,,,,,,,,,,,,
ASC023,Cheese and chilli sandwich ,916.65,218.11,27.40,6.80,9.78,2.38,2.08,23.05,113.79,89.98,18.86,437.50,142.31,0.99,0.10,4.57,0.00,0.32,0.02,0.56,97.40,0.25,0.24,0.00,5.85,0.00,28.95,0.14,0.09,1.00,0.10,0.07,1.77,28.95,22.06,518.11,triangle,,,,,,,,,,,,,
ASC024,Egg sandwich (Ande ka sandwich),1198.25,285.96,29.16,8.69,15.80,1.86,1.88,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11,14.16,0.00,0.34,0.02,0.77,190.34,0.70,0.13,0.21,1.94,3.60,29.40,0.15,0.10,0.98,0.37,0.08,4.54,29.40,0.00,134.03,triangle,,,,,,,,,,,,,
ASC025,Cucumber sandwich (Kheere ka sandwich),792.81,188.60,25.77,4.80,8.00,1.64,2.45,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09,3.58,0.00,0.31,0.02,0.46,78.85,0.21,0.62,0.00,4.69,0.00,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34,2.51,129.54,triangle,,,,,,,,,,,,,
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),1080.78,257.71,29.10,8.20,12.80,4.10,2.33,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.10,4.73,0.00,0.54,0.02,0.91,134.35,0.39,0.15,0.00,2.15,0.00,21.66,0.14,0.09,0.90,0.14,0.07,1.23,21.66,6.52,97.00,triangle,,,,,,,,,,,,,
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),1020.45,243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.20,187.97,20.97,549.71,148.52,1.00,0.09,4.52,0.00,0.32,0.03,0.87,128.58,0.35,2.65,0.00,6.82,0.00,20.91,0.13,0.09,0.95,0.15,0.07,1.23,20.91,5.42,1328.24,triangle,,,,,,,,,,,,,
ASC028,Chicken sandwich,1063.58,253.27,25.38,13.12,11.75,1.60,1.64,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19,10.83,0.00,0.30,0.02,0.70,84.92,0.32,0.11,0.53,1.37,10.74,19.06,0.15,0.07,3.94,0.45,0.24,1.62,19.06,0.00,61.71,triangle,,,,,,,,,,,,,
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),1223.06,291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28,4.21,0.00,0.63,0.11,1.06,78.85,1.12,4.00,0.00,6.79,0.00,36.28,0.23,0.07,3.23,0.25,0.10,0.59,36.28,5.20,1274.98,triangle,,,,,,,,,,,,,
ASC030,Rainbow sandwich,1145.57,272.75,34.26,7.75,12.54,4.05,2.10,31.16,172.04,149.85,20.43,612.49,143.97,1.20,0.10,5.00,0.00,0.36,0.02,0.76,128.38,0.36,0.13,0.00,2.15,0.00,21.69,0.20,0.09,1.16,0.08,0.06,0.68,21.69,2.12,188.09,triangle,,,,,,,,,,,,,
ASC031,Club sandwich ,982.35,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,128.02,18.60,461.66,169.00,0.86,0.08,3.73,0.00,0.23,0.01,0.87,80.88,1.19,1.91,0.00,13.56,0.00,19.82,0.16,0.09,1.33,0.36,0.10,1.98,19.82,6.83,918.33,triangle,,,,,,,,,,,,,
ASC032,Vegetarian club sandwich,829.67,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07,3.11,0.00,0.24,0.01,0.58,85.76,1.23,3.27,0.00,15.00,0.00,21.16,0.10,0.07,0.78,0.20,0.07,1.81,21.16,7.24,973.74,triangle,,,,,,,,,,,,,
ASC033,Pin wheel sandwich,1295.40,311.52,14.00,8.77,24.93,1.45,0.93,179.52,67.75,111.59,13.69,374.39,110.30,1.36,0.08,20.07,0.00,0.18,0.02,0.80,109.78,6.65,0.12,0.38,0.77,6.55,32.44,0.09,0.13,0.48,0.70,0.12,8.38,32.44,0.00,70.49,triangle,,,,,,,,,,,,,
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),899.82,214.11,29.04,5.30,9.12,5.30,3.66,21.05,118.05,97.76,31.49,302.88,228.82,1.80,0.14,3.60,0.00,0.63,0.45,0.78,89.31,0.25,0.45,0.00,14.90,0.00,22.32,0.13,0.07,1.44,0.21,0.10,1.71,22.32,2.78,2220.14,triangle,,,,,,,,,,,,,
ASC035,Salami sandwich,1068.35,255.59,21.54,8.70,15.51,2.00,1.97,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.10,4.52,0.00,0.26,0.02,1.05,64.51,0.22,0.43,0.00,3.54,0.00,17.03,0.25,0.09,2.07,0.51,0.13,2.39,17.03,1.69,104.03,triangle,,,,,,,,,,,,,
ASC036,Vegetable and mayonnaise sandwich,1020.23,244.26,23.20,4.47,15.40,2.35,2.35,21.87,79.53,55.55,16.70,342.70,143.10,0.91,0.09,3.17,0.00,0.30,0.02,0.42,78.70,2.66,1.79,0.00,9.37,0.00,24.97,0.11,0.06,0.86,0.11,0.08,0.98,24.97,18.89,2218.25,triangle,,,,,,,,,,,,,
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),933.23,222.11,25.90,7.66,10.51,2.09,1.77,95.63,95.71,95.47,18.11,423.26,150.47,1.30,0.10,12.16,0.00,0.31,0.03,0.69,124.29,0.67,1.35,0.18,3.87,3.07,27.45,0.14,0.09,0.99,0.35,0.09,4.08,27.45,3.33,790.67,triangle,,,,,,,,,,,,,
ASC038,Sweet open sandwich,1026.93,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,60.50,22.74,205.27,230.97,1.15,0.13,3.62,0.01,0.39,0.01,0.43,81.19,0.23,0.13,0.00,1.43,0.00,22.12,0.12,0.06,0.99,0.13,0.21,0.56,22.12,2.80,146.68,triangle,,,,,,,,,,,,,
ASC039,Mushroom and cheese sandwich (toasted),951.30,227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,196.85,21.16,456.57,198.37,0.84,0.09,3.64,0.00,0.28,0.02,0.80,139.41,0.31,6.86,0.00,5.69,0.00,16.77,0.10,0.09,0.88,0.25,0.08,4.00,16.77,0.00,83.20,triangle,,,,,,,,,,,,,
ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),939.42,224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,173.20,19.04,457.94,148.53,0.82,0.08,3.64,0.00,0.26,0.02,0.78,139.41,0.38,3.99,0.00,9.52,0.00,19.12,0.11,0.08,0.82,0.16,0.07,1.32,19.12,8.34,2005.97,triangle,,,,,,,,,,,,,
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),692.60,164.90,25.17,4.60,5.43,1.33,2.89,0.00,64.15,61.80,26.66,262.63,342.73,1.11,0.12,2.90,0.00,0.43,0.02,0.52,0.00,2.31,1.75,0.00,7.86,0.00,23.64,0.14,0.04,1.20,0.26,0.10,1.11,23.64,15.87,289.26,toasted triangle,,,,,,,,,,,,,
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),1046.81,249.56,24.05,12.40,11.98,6.40,2.12,0.00,274.10,190.78,27.81,268.90,127.84,1.26,0.13,12.97,0.05,0.43,0.02,1.63,0.00,2.29,1.72,0.00,6.91,0.00,58.65,0.12,0.08,0.79,0.31,0.08,9.97,58.65,5.46,282.96,toasted triangle,,,,,,,,,,,,,
ASC043,Chicken sandwich (toasted),705.58,167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,147.95,20.67,327.55,203.56,0.99,0.17,9.36,0.00,0.24,0.01,0.73,18.23,0.18,0.24,0.48,4.00,9.75,24.22,0.13,0.07,3.50,0.50,0.24,2.62,24.22,15.17,316.15,toasted triangle,,,,,,,,,,,,,
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),723.50,171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,115.55,26.19,290.07,234.35,1.51,0.13,3.44,0.00,0.42,0.02,1.70,1.77,0.14,1.83,0.00,7.49,0.00,21.61,0.16,0.10,2.51,0.45,0.14,1.54,21.61,6.50,216.20,toasted triangle,,,,,,,,,,,,,
ASC045,Classic club sandwich,840.30,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,127.98,20.02,277.49,167.57,1.09,0.08,7.88,0.00,0.24,0.00,0.73,97.16,1.43,1.17,0.09,20.79,1.63,25.46,0.11,0.08,0.88,0.36,0.10,3.54,25.46,7.24,1056.80,triangle,,,,,,,,,,,,,
ASC046,Sesame toast,2042.69,495.19,11.15,1.90,49.38,1.46,1.32,0.00,43.44,36.67,15.34,128.78,172.98,0.72,0.07,1.39,0.00,0.14,0.03,0.30,0.00,23.91,1.03,0.00,7.05,0.00,14.20,0.07,0.02,0.56,0.11,0.06,0.60,14.20,11.08,744.64,toasted triangle,,,,,,,,,,,,,
ASC047,Cracked wheat porridge (Meetha daliya),341.09,81.57,8.87,2.64,4.08,5.12,0.62,0.00,75.88,59.92,5.18,15.89,71.44,0.32,0.02,0.59,0.00,0.01,0.00,0.21,0.00,0.75,0.00,0.00,0.08,0.00,4.36,0.02,0.07,0.05,0.21,0.02,1.23,4.36,1.25,124.07,bowl,,,,,,,,,,,,,
ASC048,Semolina porridge (Suji/Rava daliya),423.06,100.89,12.39,3.75,4.08,7.54,0.70,0.00,108.52,95.42,10.23,23.21,123.99,0.36,0.06,1.64,0.00,0.15,0.01,0.45,0.00,0.21,0.59,0.00,0.09,0.00,8.17,0.05,0.10,0.15,0.36,0.04,1.81,8.17,1.81,199.71,bowl,,,,,,,,,,,,,
ASC050,Oatmeal Porridge,306.46,72.85,8.77,2.60,3.22,5.20,0.39,0.02,76.83,80.12,10.97,16.14,91.03,0.28,0.04,0.75,0.00,0.19,0.00,0.32,0.00,0.17,0.00,0.00,0.00,0.00,6.02,0.07,0.07,0.09,0.25,0.04,2.20,6.02,1.26,125.63,bowl,,,,,,,,,,,,,
ASC051,Cornflakes with milk,493.71,117.33,14.95,3.59,5.12,9.97,0.78,0.00,106.47,108.43,14.98,26.55,132.88,0.42,0.06,1.47,0.00,0.24,0.00,0.46,0.00,0.34,0.00,0.00,0.00,0.00,15.78,0.14,0.21,0.50,0.33,0.05,2.67,15.78,1.74,172.66,bowl,,,,,,,,,,,,,
ASC052,Rice flakes (Chiwda/Aval),471.37,112.44,15.57,3.62,3.99,7.28,0.37,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98,1.74,176.29,bowl,,,,,,,,,,,,,
ASC053,Wheat flakes,471.37,112.44,15.57,3.62,3.99,7.28,0.37,0.00,103.15,104.43,15.61,22.40,115.40,0.62,0.06,0.82,0.01,0.10,0.02,0.45,0.00,0.20,0.00,0.00,0.11,0.00,6.98,0.04,0.10,0.24,0.35,0.04,1.75,6.98,1.74,176.29,bowl,,,,,,,,,,,,,
ASC054,Murmura (Puffed rice),475.04,113.32,15.67,3.62,4.04,7.31,0.28,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07,1.74,178.11,bowl,,,,,,,,,,,,,
ASC055,Puffed wheat (Murmure/Moori),475.04,113.32,15.67,3.62,4.04,7.31,0.28,0.00,103.79,99.79,14.18,22.52,114.53,0.63,0.06,0.82,0.01,0.11,0.01,0.44,0.00,0.19,0.00,0.00,0.11,0.00,6.07,0.04,0.10,0.27,0.33,0.04,1.85,6.07,1.74,178.11,bowl,,,,,,,,,,,,,
ASC056,Boiled egg (Ubla anda),189.77,45.35,0.12,4.43,3.04,0.00,0.11,121.19,17.75,61.74,4.88,170.94,50.91,0.64,0.03,13.43,0.00,0.03,0.01,0.41,65.56,0.50,0.09,0.28,0.57,4.84,16.40,0.02,0.06,0.04,0.49,0.05,6.05,16.40,0.00,52.05,egg,,,,,,,,,,,,,
ASC057,Fried Egg ,928.19,223.67,0.31,11.59,19.62,0.00,0.29,316.88,46.40,161.43,12.75,446.96,133.13,1.69,0.08,35.12,0.00,0.08,0.04,1.08,171.43,7.07,0.22,0.73,2.22,12.65,42.89,0.05,0.17,0.10,1.28,0.14,15.82,42.89,0.00,136.10,egg,,,,,,,,,,,,,
ASC058,Poached egg,518.05,123.87,0.37,11.98,8.19,0.05,0.30,326.79,48.24,167.21,14.79,1163.07,141.30,1.75,0.08,36.29,0.00,0.09,0.04,1.12,176.79,1.36,0.23,0.75,1.53,13.04,44.23,0.05,0.17,0.11,1.32,0.15,16.32,44.23,0.00,140.35,egg,,,,,,,,,,,,,
ASC059,Scrambled egg (Ande ki bhurji),649.51,155.97,1.35,10.29,12.21,1.08,0.24,273.60,64.59,155.18,12.41,374.66,136.01,1.42,0.07,29.18,0.00,0.07,0.03,0.96,196.17,1.24,0.18,0.60,1.64,10.44,36.89,0.05,0.16,0.10,1.13,0.12,13.49,36.89,0.43,189.88,egg,,,,,,,,,,,,,
ASC060,Baked egg ,916.63,218.85,15.42,11.88,12.65,1.66,1.03,204.36,164.05,236.01,17.94,523.29,143.69,1.48,0.09,22.90,0.00,0.20,0.02,1.21,185.54,0.95,0.13,0.42,1.45,7.23,35.37,0.10,0.16,0.55,0.82,0.11,9.89,35.37,0.00,122.02,egg,,,,,,,,,,,,,
ASC061,Plain omelette/omlet,1127.43,272.41,0.64,9.66,25.74,0.51,0.12,255.94,48.40,140.01,10.22,226.18,114.08,1.35,0.06,28.42,0.00,0.04,0.02,0.90,138.46,10.38,0.09,0.59,1.79,10.22,35.30,0.05,0.14,0.09,1.06,0.12,12.98,35.30,0.21,123.14,omelette,,,,,,,,,,,,,
ASC062,Stuffed egg omelette/omlet,843.31,203.51,2.30,8.60,17.77,1.57,0.75,154.38,89.91,182.39,14.15,267.19,161.72,0.91,0.06,16.65,0.00,0.07,0.01,0.90,115.96,5.77,3.21,0.32,5.16,5.58,26.80,0.08,0.12,0.58,0.78,0.13,9.02,26.80,3.16,649.98,omelette,,,,,,,,,,,,,
ASC063,Pancake,846.21,203.36,20.49,5.68,10.82,3.32,0.65,35.93,79.49,101.29,13.56,143.70,116.83,0.69,0.07,4.53,0.00,0.16,0.01,0.52,19.44,3.78,1.59,0.08,0.68,1.43,12.84,0.06,0.10,0.24,0.52,0.06,3.10,12.84,1.19,195.39,pancake,,,,,,,,,,,,,
ASC064,Keema pancake,733.07,176.27,9.56,9.01,11.25,2.20,0.84,46.43,40.96,110.68,16.95,125.40,198.42,0.93,0.07,2.47,0.00,0.17,0.01,1.46,38.43,1.60,2.13,0.03,4.30,0.55,11.08,0.07,0.11,1.83,0.57,0.12,2.32,11.08,4.20,770.60,pancake,,,,,,,,,,,,,
ASC065,Vegetable pancake,520.55,125.18,12.24,3.87,6.57,2.09,2.48,19.32,42.89,63.25,19.91,116.69,230.72,0.79,0.09,2.07,0.00,0.21,0.01,0.48,35.17,1.54,4.21,0.03,13.94,0.52,24.39,0.09,0.06,0.55,0.46,0.10,2.48,24.39,17.61,1985.42,pancake,,,,,,,,,,,,,
ASC066,Jam and fruit pancake,675.43,162.02,20.73,3.79,7.01,7.85,1.21,23.09,54.06,68.54,11.90,93.09,110.42,0.52,0.06,2.93,0.00,0.41,0.01,0.37,12.49,2.54,1.07,0.05,1.00,0.92,12.80,0.05,0.07,0.19,0.36,0.07,2.25,12.80,9.85,146.33,pancake,,,,,,,,,,,,,
ASC067,Khoa and coconut pancake,1138.78,271.98,27.32,6.98,15.29,16.47,1.65,21.35,157.22,151.28,22.61,101.00,205.43,1.12,0.10,10.61,0.02,0.25,0.01,0.80,11.55,2.54,1.04,0.05,2.87,0.85,26.87,0.06,0.09,0.25,0.39,0.06,5.50,26.87,1.02,171.62,pancake,,,,,,,,,,,,,
ASC068,Brown stock,89.24,21.32,0.25,1.95,1.38,0.14,0.09,0.00,17.16,16.78,0.72,44.60,36.68,0.30,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.00,0.04,0.00,0.37,0.00,1.30,0.02,0.02,0.71,0.01,0.00,0.05,1.30,0.31,101.74,cup,,,,,,,,,,,,,
ASC069,Vegetable stock,72.84,17.60,0.96,0.30,1.38,0.44,0.38,3.46,5.08,5.43,2.64,49.75,30.05,0.12,0.01,0.10,0.00,0.04,0.01,0.05,15.57,0.04,0.40,0.00,2.03,0.00,3.35,0.01,0.00,0.06,0.04,0.01,0.23,3.35,1.82,330.95,cup,,,,,,,,,,,,,
ASC070,Chicken stock,125.02,29.88,0.37,3.69,1.51,0.20,0.10,10.23,3.57,30.82,4.25,58.58,56.12,0.18,0.05,3.11,0.00,0.02,0.00,0.14,1.16,0.05,0.04,0.23,0.26,4.62,2.71,0.02,0.01,1.35,0.20,0.09,0.77,2.71,0.22,6.41,cup,,,,,,,,,,,,,
ASC079,Clear tomato soup (Tamatar ka soup),330.90,80.07,3.45,4.79,12.22,1.44,1.96,0.00,29.05,50.31,22.39,5135.74,232.95,1.14,0.05,0.21,0.00,0.23,0.01,0.23,0.00,3.47,6.14,0.00,14.32,0.00,11.04,0.03,0.01,0.32,0.12,0.05,0.77,11.04,13.37,3417.47,soup bowl,,,,,,,,,,,,,
ASC080,Lentil soup,129.85,31.17,3.94,9.65,11.68,1.06,2.57,2.19,40.57,96.89,36.61,10418.84,350.26,2.26,0.10,1.99,0.00,0.35,0.04,0.47,9.85,0.09,1.93,0.00,8.17,0.00,8.97,0.03,0.02,0.20,0.14,0.04,0.56,8.97,4.60,2080.89,soup bowl,,,,,,,,,,,,,
ASC081,Chicken consomme (Clear chicken soup),199.24,47.94,1.19,11.47,12.02,0.54,1.57,17.00,35.48,102.45,32.35,8953.64,305.39,1.82,0.06,3.83,0.00,0.36,0.02,0.46,9.56,0.05,0.35,0.08,4.65,0.00,5.04,0.02,0.04,1.35,0.33,0.09,0.89,5.04,0.93,560.44,soup bowl,,,,,,,,,,,,,
ASC082,Cream of tomato soup,404.60,97.81,3.93,4.61,13.12,1.81,1.38,5.47,39.61,56.77,19.75,4461.22,205.66,0.95,0.05,0.28,0.00,0.15,0.01,0.24,26.01,3.05,5.20,0.00,11.49,0.00,9.52,0.03,0.03,0.28,0.15,0.05,0.94,9.52,11.51,2573.71,soup bowl,,,,,,,,,,,,,
ASC083,Cream of green peas soup,529.63,127.84,6.75,7.13,14.78,1.61,2.95,6.19,51.01,76.14,29.97,4999.70,242.60,1.48,0.11,0.88,0.00,0.27,0.02,0.56,29.45,3.42,4.13,0.00,16.43,0.00,21.68,0.10,0.04,0.47,0.30,0.08,1.85,21.68,12.80,1001.41,soup bowl,,,,,,,,,,,,,
ASC084,Cream of spinach soup,416.01,100.54,3.45,5.21,13.31,1.13,1.74,5.47,70.77,64.44,52.29,4429.81,404.13,2.10,0.10,1.19,0.01,0.59,0.01,0.39,26.00,3.51,0.25,0.00,141.63,0.00,64.43,0.08,0.07,0.20,0.17,0.08,2.27,64.43,13.69,4180.58,soup bowl,,,,,,,,,,,,,
